item_name,item_id,shop_name,shop_id,shop_reviews,price,on_sale,sale_price,image,link
50 Pink Sticker Bomb Scrapbooking Laptop Phone Skin Lot Set Bulk Decoration,801647683,LeftoverBagels,7941995,11371,4.99,False,N/A,https://i.etsystatic.com/7941995/r/il/9b113c/2285536450/il_340x270.2285536450_67sp.jpg,https://www.etsy.com/listing/801647683/50-pink-sticker-bomb-scrapbooking-laptop?click_key=0a6f65435edcea59de338fd163fb56ff14acf8b6%3A801647683&click_sum=f3e0e584&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=search_grid-1-7&frs=1&pop=1
50 Outdoor Camping Hiking Stickers Pack Nature Set Lot,968513148,LeftoverBagels,7941995,11371,4.99,False,N/A,https://i.etsystatic.com/7941995/r/il/df20d2/2947130398/il_340x270.2947130398_delh.jpg,https://www.etsy.com/listing/968513148/50-outdoor-camping-hiking-stickers-pack?click_key=b346db3ab6d942a4718d6afcea59cc9ac8c77c1e%3A968513148&click_sum=9053726d&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker&ref=search_grid-1-8&frs=1&pop=1
"Vintage Whelan’s Sticker Pack- Vintage paper ephemera lot, Paper pack mixed media, stickers, vintage soda stickers, dry ginger ale, pop",1129338334,GypsyOScrap,5881403,769,14.0,False,N/A,https://i.etsystatic.com/5881403/r/il/1aa643/3589758035/il_340x270.3589758035_jlkp.jpg,https://www.etsy.com/listing/1129338334/vintage-whelans-sticker-pack-vintage?click_key=3accb65d427d2a8757cc942e3358ede8b964be8f%3A1129338334&click_sum=c127a10e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker%25page%3D2&ref=search_grid-1-1
Spring is Here - Sticker Pack,1014535302,ShoLittleHappiness,15157014,324,7.0,False,N/A,https://i.etsystatic.com/15157014/r/il/739791/3640967277/il_340x270.3640967277_ktuc.jpg,https://www.etsy.com/listing/1014535302/spring-is-here-sticker-pack?click_key=b7bae54a12b71e4ea103535a43de38f94e5d366d%3A1014535302&click_sum=92c86250&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker%25page%3D2&ref=search_grid-1-2&sts=1
"Handmade vintage newspaper ""Precious Romantic"", vintage junk book.",1213633369,Paricicbeau,21289368,107,120.17,False,N/A,https://i.etsystatic.com/21289368/r/il/6a110a/3849615429/il_340x270.3849615429_5f5u.jpg,https://www.etsy.com/listing/1213633369/handmade-vintage-newspaper-precious?click_key=820bde2ece377f28904a1d346d34409912e42579%3A1213633369&click_sum=56f8fa6e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker%25page%3D2&ref=search_grid-1-3
"Botanical Sticker Pack, Plants Illustration Sticker, Encyclopedia Sticker, Botanical Garden Sticker, Vintage Floral,Junk Journal Sticker",788436222,Everythingforcraft,21751908,311,3.17,True,6.34,https://i.etsystatic.com/21751908/c/600/476/0/61/il/bdf168/2335316765/il_340x270.2335316765_jx9n.jpg,https://www.etsy.com/listing/788436222/botanical-sticker-pack-plants?click_key=1a2b5b5c50c08e02429faa2d7a67c51cc66825fe%3A788436222&click_sum=07f71235&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker%25page%3D2&ref=search_grid-1-4&pro=1
how do you love sticker pack,1216821781,grumpyghoulsgarage,35335284,11,8.0,False,N/A,https://i.etsystatic.com/35335284/c/1620/1287/0/76/il/0c1df6/3862065321/il_340x270.3862065321_9y17.jpg,https://www.etsy.com/listing/1216821781/how-do-you-love-sticker-pack?click_key=0054f967ab0bf1ec3de5ddde62593b66dfed5593%3A1216821781&click_sum=ee07d2e4&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker%25page%3D2&ref=search_grid-1-5
Notes Page Sticker: To Watch,758033019,HighlandBellePlans,8117254,5712,5.0,False,N/A,https://i.etsystatic.com/8117254/c/1754/1394/89/0/il/b76eac/2153258369/il_340x270.2153258369_sw6m.jpg,https://www.etsy.com/listing/758033019/notes-page-sticker-to-watch?click_key=3056b7d8f2250b25f8e8a19cc731dcdfbff1e7a1%3A758033019&click_sum=feb1bd34&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker%25page%3D2&ref=search_grid-1-6
Yikes Sticker - Lettering,757232281,VinylStickersByMoods,21736451,706,4.5,False,N/A,https://i.etsystatic.com/21736451/r/il/bb5b3a/2149695791/il_340x270.2149695791_i2kn.jpg,https://www.etsy.com/listing/757232281/yikes-sticker-lettering?click_key=090cca8525ba086e39556a6c4827e63119de8be9%3A757232281&click_sum=2865f58e&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker%25page%3D2&ref=search_grid-1-7&frs=1
Sticker pack,1046748142,WavestonejewelryCo,26324341,8,20.0,False,N/A,https://i.etsystatic.com/26324341/r/il/6f30b5/3239025204/il_340x270.3239025204_9oh9.jpg,https://www.etsy.com/listing/1046748142/sticker-pack?click_key=0ecdbe23c13a13032a74fc46969c90a0d3a76cb7%3A1046748142&click_sum=2286465f&ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=sticker%25page%3D2&ref=search_grid-1-8
